Parameter,v11,v12,v13,v21,v22,v23,v31,v32,v33,s,e,p,R0,kappa,alpha1,alpha2,alpha3,epsilon,delta,gamma,m1,m2,m3,c,obs,e_ratio
Base case,0.26097125,0.11515507,0.00257168,0.14324154,0.43960213,0.00526371,0.01095365,0.02332555,0.00519879,0,0,calibrated,2.2,0.375,0.25,0.7,0.7,2,0.2,0.2,0,0.005,0.1,0.13,1500,1
Schools closed,0.17467722,0.12213796,0.0045502,0.16255619,0.49109185,0.00684832,0.01876579,0.03329414,0.00593186,0,0,calibrated,2.2,0.375,0.25,0.7,0.7,2,0.2,0.2,0,0.005,0.1,0.13,1500,1
