"","time","S_1","E_1","I_1","A_1","R_1","S_2","E_2","I_2","A_2","R_2","S_3","E_3","I_3","A_3","R_3","S_1Q","E_1Q","I_1Q","A_1Q","R_1Q","S_2Q","E_2Q","I_2Q","A_2Q","R_2Q","S_3Q","E_3Q","I_3Q","A_3Q","R_3Q","I_1_cum","I_2_cum","I_3_cum","I_1Q_cum","I_2Q_cum","I_3Q_cum","A_1_cum","A_2_cum","A_3_cum","A_1Q_cum","A_2Q_cum","A_3Q_cum","D_1_cum","D_2_cum","D_3_cum","D_1Q_cum","D_2Q_cum","D_3Q_cum"
"40",40,462989.796248965,782.183659629582,124.495586610674,373.486759832027,855.797744963031,1158228.02551003,1673.56898449298,746.34841653455,319.863607086237,1840.13040467324,290578.656325932,42.6205816086492,19.0339538772978,8.15740880455628,51.2725086932981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.005022851434,2028.88385383639,55.1061647217161,0,0,0,1011.01506855431,869.521651644159,869.521651644159,0,0,0,0,6.46307718650908,6.46307718650908,0,0,0
"41",41,462729.841446302,876.451774624469,139.541852179867,418.625556539606,961.299370354047,1157671.98915674,1875.11552582489,836.387449655506,358.451764138075,2065.20250727787,290564.487675974,47.7608188657871,21.3225473504426,9.13823457876118,56.6283726042485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.426694768381,2277.02672220395,61.4260536117052,0,0,0,1135.28008430515,975.868595230257,975.868595230257,0,0,0,0,7.25359636274212,7.25359636274212,0,0,0
"42",42,462438.681997551,981.966956428156,156.3912968855,469.173890656504,1079.5458584795,1157049.19546098,2100.74624610446,937.229712489237,401.669876781101,2317.41924818728,290548.611000374,53.520271349757,23.8883845559924,10.2378790954254,62.6284921006748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.837761505377,2555.04080504429,68.5081097930599,0,0,0,1274.51328451614,1095.01748787612,1095.01748787612,0,0,0,0,8.13945546277519,8.13945546277519,0,0,0
"43",43,462112.62295293,1100.04545478955,175.257034538465,525.771103615399,1212.06345412697,1156351.72189479,2353.2890991569,1050.15510046291,450.066471626958,2600.03534794158,290530.821559273,59.9726048916811,26.7645242631506,11.4705103984932,69.3508450913757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.832898070208,2866.49230423523,76.4440850846166,0,0,0,1430.49869421063,1228.49670181509,1228.49670181509,0,0,0,0,9.13208601886151,9.13208601886151,0,0,0
"44",44,461747.544147005,1232.1509779322,196.376595354609,589.129786063832,1360.5584936449,1155570.72970441,2635.8912757052,1176.59093326664,504.25325711427,2916.69055760524,290510.890438509,67.2000819364111,29.9879340144456,12.8519717204768,76.882703651847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.076218765836,3215.36531392261,85.3366356878793,0,0,0,1605.22865629752,1378.01370596682,1378.01370596682,0,0,0,0,10.2442719032798,10.2442719032798,0,0,0
"45",45,461338.854415248,1379.90951950064,220.014525545525,660.043576636579,1526.93796306912,1154696.36408607,2952.05194774612,1318.12785888782,564.911939523349,3271.4538631839,290488.561782934,75.2945150645176,33.5999339488141,14.399971692349,85.321730614837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.309016312805,3606.10877632761,95.3005914008425,0,0,0,1800.92704893842,1545.47518985468,1545.47518985468,0,0,0,0,11.4903045871988,11.4903045871988,0,0,0
"46",46,460881.441695701,1545.12523006133,246.46521218052,739.395636541567,1713.33222551539,1153717.64507038,3305.65750617502,1476.53719322134,632.801654237716,3668.87242097166,290463.549736199,84.3583140826615,37.6466872331605,16.1342945284975,94.7772001995082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673.358268559369,4043.68819641269,106.464364802683,0,0,0,2020.07480567812,1733.009227034,1733.009227034,0,0,0,0,12.8861550159567,12.8861550159567,0,0,0
"47",47,460369.618865656,1729.79727896268,276.055938728521,828.16781618557,1922.12010046762,1152622.34867466,3701.01923726844,1653.78974873552,708.76703517236,4114.02564059836,290435.535061838,94.5056325546089,42.1797409166937,18.0770318214403,105.371355568491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755.145963845426,4533.64246164959,118.971513925236,0,0,0,2265.43789153629,1942.98962642124,1942.98962642124,0,0,0,0,14.4496635645703,14.4496635645703,0,0,0
"48",48,459797.065225203,1936.13760587956,309.150172174562,927.450516523693,2155.95648021917,1151396.87798904,4142.91329729833,1852.07618348778,793.746935780472,4612.58484481683,290404.161419932,105.863619051946,47.2566210398222,20.2528375884955,117.240917220162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846.699292229355,5082.14609956585,132.982472710913,0,0,0,2540.09787668808,2178.06261409964,2178.06261409964,0,0,0,0,16.2007495803903,16.2007495803903,0,0,0
"49",49,459156.763627157,2166.58939976111,346.151076493561,1038.45322948069,2417.80266710796,1150026.12401676,4636.62272859432,2073.82887095807,888.783801839169,5170.87893980768,290369.031273664,118.573777432121,52.9414857450521,22.6892081764511,130.538757133404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949.16174327055,5696.07727824899,148.676464232561,0,0,0,2847.48522981166,2441.17597639241,2441.17597639241,0,0,0,0,18.1616420364545,18.1616420364545,0,0,0
