"","time","S_1","E_1","I_1","A_1","R_1","S_2","E_2","I_2","A_2","R_2","S_3","E_3","I_3","A_3","R_3","S_1Q","E_1Q","I_1Q","A_1Q","R_1Q","S_2Q","E_2Q","I_2Q","A_2Q","R_2Q","S_3Q","E_3Q","I_3Q","A_3Q","R_3Q","I_1_cum","I_2_cum","I_3_cum","I_1Q_cum","I_2Q_cum","I_3Q_cum","A_1_cum","A_2_cum","A_3_cum","A_1Q_cum","A_2Q_cum","A_3Q_cum","D_1_cum","D_2_cum","D_3_cum","D_1Q_cum","D_2Q_cum","D_3Q_cum"
"50",50,458440.933372344,2423.84606340874,387.505239091527,1162.51571727459,2710.95960788122,1148493.3163066,5187.98110908646,2321.74524912464,995.033678196268,5795.96652419828,290329.701400772,132.793439001133,59.3058399155433,25.4167885352331,145.435754551799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.80514106183,6383.09180902309,166.253612158833,0,0,0,3191.41542318551,2735.6107752956,2735.6107752956,0,0,0,0,20.3571327994922,20.3571327994922,0,0,0
"51",51,457640.959147256,2710.87032185065,433.706586049538,1301.11975814862,3039.10418669566,1146779.86370711,5803.41723498672,2598.81255090541,1113.77680753088,6495.71484551466,290285.677986618,148.697347363776,66.4293144631772,28.4697061985048,162.122850181696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192.04263272345,7151.70334052937,185.937266212842,0,0,0,3576.12789817037,3065.01571736972,3065.01571736972,0,0,0,0,22.8148539481197,22.8148539481197,0,0,0
"52",52,456747.316485909,3030.91300821702,485.300448069911,1455.90134420974,3406.32871359454,1144865.18595811,6489.99999466622,2908.33374432406,1246.42874756745,7278.88597489349,290236.411278487,166.479353946115,74.4005127480646,31.8859340348851,180.813316328887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335.44262646855,8011.36983306009,207.97655729669,0,0,0,4006.32787940565,3433.4442141686,3433.4442141686,0,0,0,0,25.5655804436801,25.5655804436801,0,0,0
"53",53,455749.494499503,3387.53090723924,542.887721310153,1628.66316393046,3817.183708017,1142726.53733232,7255.48229089351,3253.95441593306,1394.55189254274,8155.23050906776,290181.289785283,186.354218401761,83.3179256694538,35.7076824297662,201.745261040445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495.7436483144,8972.58626374787,232.649197420328,0,0,0,4487.23094494322,3845.39411303479,3845.39411303479,0,0,0,0,28.6435592390739,28.6435592390739,0,0,0
"54",54,454635.916946969,3784.60284908102,607.129045069002,1821.38713520701,4276.72402367435,1140338.82417604,8108.34249802257,3639.69021083437,1559.86723321473,9135.58901630638,290119.634013359,208.559503166524,93.2909156437978,39.9818209901994,225.184384561007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674.87005098759,10046.9833281595,260.264538431654,0,0,0,5024.61015296278,4305.84999778263,4305.84999778263,0,0,0,0,32.0868655866256,32.0868655866256,0,0,0
"55",55,453393.863128319,4226.34302069593,678.748890732268,2036.2466721968,4790.55828805593,1137674.41899313,9057.82149045989,4069.95429212522,1744.26612519652,10232.0013122438,290050.689738354,233.357545054253,104.440767883356,44.7603290928673,251.4270062423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.94846274625,11247.4316614887,291.166901614121,0,0,0,5624.84538823875,4820.3278549237,4820.3278549237,0,0,0,0,35.9377868468171,35.9377868468171,0,0,0
"56",56,452009.390582619,4717.31019455755,758.539422631101,2275.6182678933,5364.90153229871,1134702.97470219,10113.9527392588,4549.5840964443,1949.82175561899,11457.8234730139,289973.620825184,261.037478702679,116.901804995396,50.100773569456,280.803379319521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098.32480570578,12588.150790985,325.739187278908,0,0,0,6294.97441711734,5394.92176756497,5394.92176756497,0,0,0,0,40.2432334727032,40.2432334727032,0,0,0
"57",57,450467.26217481,5262.41126264015,847.363950670795,2542.09185201238,6006.63075986688,1131391.2438957,11287.5823365872,5083.86643507947,2178.79990074835,12827.8522558744,289887.501624482,291.917276561314,130.822557807076,56.0668104887474,313.681309514324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347.58164063751,14084.8216373997,364.406769269472,0,0,0,7042.74492191254,6036.35213031414,6036.35213031414,0,0,0,0,45.0551760116009,45.0551760116009,0,0,0
"58",58,448750.880870466,5866.89710609568,946.15974598789,2838.47923796366,6723.34303948674,1127702.90937093,12590.3750676172,5678.55971652482,2433.66844993921,14358.4562891044,289791.30899451,326.345757620531,146.366981335143,62.7287062864903,350.470091030425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625.55550585957,15754.7008930156,407.641673508583,0,0,0,7876.66651757871,6752.01466843527,6752.01466843527,0,0,0,0,50.431105882454,50.431105882454,0,0,0
"59",59,446842.23633121,6536.34843066877,1055.93993388767,3167.819801663,7523.41550257084,1123598.43390428,14034.8018060533,6339.91174170425,2717.10503215898,16067.7129994966,289683.91402386,364.704501861851,163.715699796058,70.1638713411681,391.624769921061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2935.35380953038,17616.7350027656,455.967031994708,0,0,0,8806.06142859113,7550.02928689956,7550.02928689956,0,0,0,0,56.4345163053069,56.4345163053069,0,0,0
"60",60,444721.868347674,7276.64882519149,1177.79411390015,3533.38234170044,8416.06637153344,1119034.93910519,15634.1026729963,7074.67114963136,3032.0019212706,17975.5497528852,289564.07356272,407.409589280211,183.06725831939,78.4573964225961,437.650739729342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280.37070678351,19691.6707552708,509.961793599542,0,0,0,9841.11212035052,8439.28746654463,8439.28746654463,0,0,0,0,63.135398028197,63.135398028197,0,0,0
