Scenario,v11,v12,v13,v21,v22,v23,v31,v32,v33,s,e,p,R0,kappa,alpha1,alpha2,alpha3,epsilon,delta,gamma,m1,m2,m3,c,obs,e_ratio,k_report,k_inf,k_susp,young,medium,old,n
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"30% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.3,,1,1,1,1,0.24,0.6,0.15,8400000
"30% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.3,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"30% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.3,,1,1,1,1,0.24,0.6,0.15,8400000
"30% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.3,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"15% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.15,,1,1,1,1,0.24,0.6,0.15,8400000
"30% detected, Asymp RR=0.25",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.3,,1,1,1,1,0.24,0.6,0.15,8400000
"30% detected, Asymp RR=0.5",9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.5,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.3,,1,1,1,1,0.24,0.6,0.15,8400000
"5% detected, Asymp RR=0.25",7.321427213,1.7029803,0.21919632,5.015734823,7.750062,0.663960473,0.68676276,0.76058763,0.937112265,0,0,0.05,2.2,0.25,0.75,0.3,0.3,1/.5,0.2,0.2,0,0.005,0.1,0.05,,1,1,1,1,0.24,0.6,0.15,8400000
