"","time","comp","scenario","val2","var","value","lab"
"54",14,"I","14% detected, Asymp RR=0.5",1272.63272405818,"Total",2622.95066158921,"Cumulative cases"
"55",14,"I","30% detected, Asymp RR=0.25",630.074509596098,"Total",1274.7450220859,"Cumulative cases"
"56",14,"I","30% detected, Asymp RR=0.5",592.887708423581,"Total",1221.96887559669,"Cumulative cases"
"57",15,"I","14% detected, Asymp RR=0.25",1514.6363743008,"Total",3078.69808328572,"Cumulative cases"
"58",15,"I","14% detected, Asymp RR=0.5",1460.27512302182,"Total",3025.0754432704,"Cumulative cases"
"59",15,"I","30% detected, Asymp RR=0.25",709.707362852914,"Total",1442.57569576275,"Cumulative cases"
"60",15,"I","30% detected, Asymp RR=0.5",680.309022256156,"Total",1409.31636760313,"Cumulative cases"
"61",16,"I","14% detected, Asymp RR=0.25",1702.79893154983,"Total",3475.58843563368,"Cumulative cases"
"62",16,"I","14% detected, Asymp RR=0.5",1672.98387853118,"Total",3481.41424143533,"Cumulative cases"
"63",16,"I","30% detected, Asymp RR=0.25",797.877933816197,"Total",1628.55361162597,"Cumulative cases"
"64",16,"I","30% detected, Asymp RR=0.5",779.409850853519,"Total",1621.92462702229,"Cumulative cases"
"65",17,"I","14% detected, Asymp RR=0.25",1911.15640776156,"Total",3915.37562599593,"Cumulative cases"
"66",17,"I","14% detected, Asymp RR=0.5",1914.14749417352,"Total",3999.27425545439,"Cumulative cases"
"67",17,"I","30% detected, Asymp RR=0.25",895.512739798191,"Total",1834.63491526396,"Cumulative cases"
"68",17,"I","30% detected, Asymp RR=0.5",891.769368596126,"Total",1863.19912435595,"Cumulative cases"
"69",18,"I","14% detected, Asymp RR=0.25",2141.90250214409,"Total",4402.69423993062,"Cumulative cases"
"70",18,"I","14% detected, Asymp RR=0.5",2187.61121006784,"Total",4586.95019642713,"Cumulative cases"
"71",18,"I","30% detected, Asymp RR=0.25",1003.64017865181,"Total",2062.99229523001,"Cumulative cases"
"72",18,"I","30% detected, Asymp RR=0.5",1019.17973743849,"Total",2137.00584046737,"Cumulative cases"
"73",19,"I","14% detected, Asymp RR=0.25",2397.46011156577,"Total",4942.66575508766,"Cumulative cases"
"74",19,"I","14% detected, Asymp RR=0.5",2497.73745773666,"Total",5253.85470660741,"Cumulative cases"
"75",19,"I","30% detected, Asymp RR=0.25",1123.39603437163,"Total",2316.02656633244,"Cumulative cases"
"76",19,"I","30% detected, Asymp RR=0.5",1163.67423382314,"Total",2447.73194766948,"Cumulative cases"
"77",20,"I","14% detected, Asymp RR=0.25",2680.52199764895,"Total",5540.98453474929,"Cumulative cases"
"78",20,"I","14% detected, Asymp RR=0.5",2849.48359016195,"Total",6010.68605398986,"Cumulative cases"
"79",20,"I","30% detected, Asymp RR=0.25",1256.04273913576,"Total",2596.40740239254,"Cumulative cases"
"80",20,"I","30% detected, Asymp RR=0.5",1327.56380868864,"Total",2800.36468956416,"Cumulative cases"
"81",21,"I","14% detected, Asymp RR=0.25",2994.06835380653,"Total",6203.95477021142,"Cumulative cases"
