"","time","comp","scenario","val2","var","value","lab"
"1",1,"I","15% detected, Asymp RR=0.25",1667.25,"Total",2821.5,"Cumulative cases"
"2",1,"I","15% detected, Asymp RR=0.5",1199.25,"Total",2029.5,"Cumulative cases"
"3",1,"I","2% detected, Asymp RR=0.25",12899.25,"Total",21829.5,"Cumulative cases"
"4",1,"I","2% detected, Asymp RR=0.5",9360,"Total",15840,"Cumulative cases"
"5",1,"I","5% detected, Asymp RR=0.25",5031,"Total",8514,"Cumulative cases"
"6",1,"I","5% detected, Asymp RR=0.5",3656.25,"Total",6187.5,"Cumulative cases"
"7",2,"I","15% detected, Asymp RR=0.25",2035.2053454944,"Total",3540.1362059049,"Cumulative cases"
"8",2,"I","15% detected, Asymp RR=0.5",1470.75740997538,"Total",2561.92381780067,"Cumulative cases"
"9",2,"I","2% detected, Asymp RR=0.25",15744.7074358846,"Total",27386.6339719319,"Cumulative cases"
"10",2,"I","2% detected, Asymp RR=0.5",11478.2491221902,"Total",19993.7338007769,"Cumulative cases"
"11",2,"I","5% detected, Asymp RR=0.25",6141.16621496745,"Total",10682.1913784595,"Cumulative cases"
"12",2,"I","5% detected, Asymp RR=0.5",4483.91824304901,"Total",7810.53464634582,"Cumulative cases"
"13",3,"I","15% detected, Asymp RR=0.25",2466.46001298488,"Total",4400.42533630998,"Cumulative cases"
"14",3,"I","15% detected, Asymp RR=0.5",1800.72754625941,"Total",3225.54633641876,"Cumulative cases"
"15",3,"I","2% detected, Asymp RR=0.25",19076.5844167237,"Total",34032.7232667683,"Cumulative cases"
"16",3,"I","2% detected, Asymp RR=0.5",14050.6588264167,"Total",25166.8873390969,"Cumulative cases"
"17",3,"I","5% detected, Asymp RR=0.25",7441.94977270454,"Total",13277.0018652647,"Cumulative cases"
"18",3,"I","5% detected, Asymp RR=0.5",5489.57555383097,"Total",9833.02791580158,"Cumulative cases"
"19",4,"I","15% detected, Asymp RR=0.25",2956.81445247014,"Total",5392.18714167493,"Cumulative cases"
"20",4,"I","15% detected, Asymp RR=0.5",2186.28718709363,"Total",4013.3159799091,"Cumulative cases"
"21",4,"I","2% detected, Asymp RR=0.25",22861.2404058741,"Total",41686.5389247425,"Cumulative cases"
"22",4,"I","2% detected, Asymp RR=0.5",17053.9061693242,"Total",31302.4514361241,"Cumulative cases"
"23",4,"I","5% detected, Asymp RR=0.25",8920.54623169203,"Total",16267.4290138524,"Cumulative cases"
"24",4,"I","5% detected, Asymp RR=0.5",6664.35670054743,"Total",12233.2494538362,"Cumulative cases"
"25",5,"I","15% detected, Asymp RR=0.25",3506.18032064259,"Total",6514.21657442278,"Cumulative cases"
"26",5,"I","15% detected, Asymp RR=0.5",2628.74406206745,"Total",4927.38235708555,"Cumulative cases"
"27",5,"I","2% detected, Asymp RR=0.25",27096.3955368152,"Total",50335.3389529505,"Cumulative cases"
"28",5,"I","2% detected, Asymp RR=0.5",20496.898182614,"Total",38414.351605849,"Cumulative cases"
"29",5,"I","5% detected, Asymp RR=0.25",10576.5043317692,"Total",19649.4410695903,"Cumulative cases"
"30",5,"I","5% detected, Asymp RR=0.5",8012.09320431175,"Total",15017.4118114196,"Cumulative cases"
"31",6,"I","15% detected, Asymp RR=0.25",4117.18460559446,"Total",7771.26446866822,"Cumulative cases"
"32",6,"I","15% detected, Asymp RR=0.5",3132.25246585307,"Total",5976.17485873102,"Cumulative cases"
"33",6,"I","2% detected, Asymp RR=0.25",31800.2468977717,"Total",60011.3279743281,"Cumulative cases"
"34",6,"I","2% detected, Asymp RR=0.5",24410.2467789312,"Total",46564.4017693099,"Cumulative cases"
"35",6,"I","5% detected, Asymp RR=0.25",12417.4966679932,"Total",23436.8293979832,"Cumulative cases"
"36",6,"I","5% detected, Asymp RR=0.5",9545.2390459614,"Total",18210.7500098433,"Cumulative cases"
"37",7,"I","15% detected, Asymp RR=0.25",4794.35329112043,"Total",9172.26135643991,"Cumulative cases"
"38",7,"I","15% detected, Asymp RR=0.5",3703.07316903856,"Total",7172.77414448923,"Cumulative cases"
"39",7,"I","2% detected, Asymp RR=0.25",37005.0113884224,"Total",70777.6119164148,"Cumulative cases"
"40",7,"I","2% detected, Asymp RR=0.5",28840.3203532243,"Total",55849.2135758114,"Cumulative cases"
"41",7,"I","5% detected, Asymp RR=0.25",14456.854169539,"Total",27655.844162479,"Cumulative cases"
"42",7,"I","5% detected, Asymp RR=0.5",11282.5824186297,"Total",21852.486382253,"Cumulative cases"
"43",8,"I","15% detected, Asymp RR=0.25",5543.64777150839,"Total",10729.2998170785,"Cumulative cases"
"44",8,"I","15% detected, Asymp RR=0.5",4349.20245119837,"Total",8534.08802823751,"Cumulative cases"
"45",8,"I","2% detected, Asymp RR=0.25",42753.1977793265,"Total",82720.0222461778,"Cumulative cases"
"46",8,"I","2% detected, Asymp RR=0.5",33846.1634727611,"Total",66393.3551605981,"Cumulative cases"
"47",8,"I","5% detected, Asymp RR=0.25",16712.1369878367,"Total",32342.0586947615,"Cumulative cases"
"48",8,"I","5% detected, Asymp RR=0.5",13248.1072904139,"Total",25993.3011120289,"Cumulative cases"
"49",9,"I","15% detected, Asymp RR=0.25",6372.22775928792,"Total",12457.1056765969,"Cumulative cases"
